epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,52.2999,0.85801,1.11259,1.29937,0,0,0,0,nan,nan,nan,0.00143648,0.00143648,0.00143648
48,53.4349,0.93671,0.89911,1.26582,0,0,0,0,nan,nan,nan,0.00145797,0.00145797,0.00145797
49,54.5633,1.06464,1.04261,1.3795,0,0,0,0,nan,nan,nan,0.00147906,0.00147906,0.00147906
50,55.6929,0.95784,0.90681,1.29355,0,0,0,0,nan,nan,nan,0.00149975,0.00149975,0.00149975
51,56.8178,1.52913,1.17476,1.65252,0,0,0,0,nan,nan,nan,0.001505,0.001505,0.001505
52,57.9501,1.21053,0.99909,1.59223,0,0,0,0,nan,nan,nan,0.0014951,0.0014951,0.0014951
53,59.0809,1.49877,1.53664,1.90306,0,0,0,0,nan,nan,nan,0.0014852,0.0014852,0.0014852
54,60.2194,1.15788,0.99071,1.49739,0,0,0,0,nan,nan,nan,0.0014753,0.0014753,0.0014753
55,61.3454,1.13431,0.91461,1.35531,0,0,0,0,nan,nan,nan,0.0014654,0.0014654,0.0014654
56,62.4859,2.04869,1.38579,2.4487,0,0,0,0,nan,nan,nan,0.0014555,0.0014555,0.0014555
57,63.6098,2.53271,3.03994,1.96505,0,0,0,0,nan,nan,nan,0.0014456,0.0014456,0.0014456
58,64.7521,1.52054,1.13416,1.90868,0,0,0,0,nan,nan,nan,0.0014357,0.0014357,0.0014357
59,65.8682,1.24692,0.90256,1.68852,0,0,0,0,nan,nan,nan,0.0014258,0.0014258,0.0014258
60,67.0068,1.26459,1.00114,1.38252,0,0,0,0,nan,nan,nan,0.0014159,0.0014159,0.0014159
61,68.13,1.23072,1.04741,1.44304,0,0,0,0,nan,nan,nan,0.001406,0.001406,0.001406
62,69.2633,1.01156,0.95488,1.38879,0,0,0,0,nan,nan,nan,0.0013961,0.0013961,0.0013961
63,70.421,1.05654,1.26386,1.74084,0,0,0,0,nan,nan,nan,0.0013862,0.0013862,0.0013862
64,71.5896,1.08383,0.9126,1.44034,0,0,0,0,nan,nan,nan,0.0013763,0.0013763,0.0013763
65,72.7359,1.09679,0.97079,1.44924,0,0,0,0,nan,nan,nan,0.0013664,0.0013664,0.0013664
66,73.8756,0.96087,0.82534,1.25342,0,0,0,0,nan,nan,nan,0.0013565,0.0013565,0.0013565
67,75.0002,0.80999,0.84232,1.25838,0,0,0,0,nan,nan,nan,0.0013466,0.0013466,0.0013466
68,76.1493,1.2509,1.04543,1.51739,0,0,0,0,nan,nan,nan,0.0013367,0.0013367,0.0013367
69,77.3003,1.00102,0.87139,1.34965,0,0,0,0,nan,nan,nan,0.0013268,0.0013268,0.0013268
70,78.4532,1.09665,1.12293,1.39553,0,0,0,0,nan,nan,nan,0.0013169,0.0013169,0.0013169
71,79.602,0.96667,1.026,1.30717,0,0,0,0,nan,nan,nan,0.001307,0.001307,0.001307
72,80.7563,0.85697,0.72329,1.30287,0.00325,0.07692,0.00264,0.00158,nan,nan,nan,0.0012971,0.0012971,0.0012971
73,81.9142,1.13,0.80248,1.61922,0.00325,0.07692,0.00264,0.00158,nan,nan,nan,0.0012872,0.0012872,0.0012872
74,83.0694,1.12757,0.9867,1.47742,0.0057,0.07692,0.00153,0.00015,nan,nan,nan,0.0012773,0.0012773,0.0012773
75,84.2134,0.98359,0.79575,1.42477,0.0057,0.07692,0.00153,0.00015,nan,nan,nan,0.0012674,0.0012674,0.0012674
76,85.3573,0.96843,0.83469,1.34376,0.03937,0.07692,0.00399,0.0004,nan,nan,nan,0.0012575,0.0012575,0.0012575
77,86.5025,1.10341,1.18552,1.40767,0.03937,0.07692,0.00399,0.0004,nan,nan,nan,0.0012476,0.0012476,0.0012476
78,87.6546,0.88952,0.85341,1.28981,0.05953,0.07692,0.01303,0.00794,3.07225,8.81534,4.39372,0.0012377,0.0012377,0.0012377
79,88.794,0.79357,0.7196,1.15588,0.05953,0.07692,0.01303,0.00794,3.07225,8.81534,4.39372,0.0012278,0.0012278,0.0012278
80,89.9463,0.98384,0.76748,1.34065,0.91711,0.23077,0.24768,0.16379,2.24373,4.51742,2.73905,0.0012179,0.0012179,0.0012179
81,91.0957,0.955,0.68428,1.22367,0.91711,0.23077,0.24768,0.16379,2.24373,4.51742,2.73905,0.001208,0.001208,0.001208
82,92.2583,1.10233,0.87811,1.40467,0.21205,0.15385,0.04744,0.02682,2.39341,7.90073,3.29733,0.0011981,0.0011981,0.0011981
83,93.4049,1.15832,1.09701,1.48284,0.21205,0.15385,0.04744,0.02682,2.39341,7.90073,3.29733,0.0011882,0.0011882,0.0011882
84,94.5571,0.957,0.8818,1.24335,0.45504,0.23077,0.16041,0.09347,2.54001,7.24765,3.54175,0.0011783,0.0011783,0.0011783
85,95.6954,0.96674,0.84878,1.21468,0.45504,0.23077,0.16041,0.09347,2.54001,7.24765,3.54175,0.0011684,0.0011684,0.0011684
86,96.852,1.48906,1.35097,1.85955,1,0.30391,0.31453,0.24298,nan,nan,nan,0.0011585,0.0011585,0.0011585
87,97.9929,1.22524,0.8969,1.52792,1,0.30391,0.31453,0.24298,nan,nan,nan,0.0011486,0.0011486,0.0011486
88,99.1476,0.90255,0.90863,1.42732,0.8345,0.38462,0.4557,0.3031,nan,nan,nan,0.0011387,0.0011387,0.0011387
89,100.288,1.03394,0.88027,1.40973,0.8345,0.38462,0.4557,0.3031,nan,nan,nan,0.0011288,0.0011288,0.0011288
90,101.446,0.68756,0.69826,1.15587,0.20565,0.30769,0.11365,0.0737,nan,nan,nan,0.0011189,0.0011189,0.0011189
91,102.65,1.17269,1.02687,1.36669,0.20565,0.30769,0.11365,0.0737,nan,nan,nan,0.001109,0.001109,0.001109
92,104.066,0.93672,0.68746,1.30903,0.85495,0.45445,0.56265,0.43446,nan,nan,nan,0.0010991,0.0010991,0.0010991
93,105.207,1.01559,0.89775,1.18216,0.85495,0.45445,0.56265,0.43446,nan,nan,nan,0.0010892,0.0010892,0.0010892
94,106.356,0.81002,0.68816,1.19804,0.67572,0.53846,0.66209,0.48496,1.27398,2.92285,1.81671,0.0010793,0.0010793,0.0010793
95,107.584,0.94775,0.86336,1.45995,0.67572,0.53846,0.66209,0.48496,1.27398,2.92285,1.81671,0.0010694,0.0010694,0.0010694
96,108.806,1.00475,0.82307,1.31205,0.74168,0.88467,0.87316,0.61801,1.19739,2.01541,1.68825,0.0010595,0.0010595,0.0010595
97,110.014,0.98678,0.73438,1.33053,0.74168,0.88467,0.87316,0.61801,1.19739,2.01541,1.68825,0.0010496,0.0010496,0.0010496
98,111.278,0.88598,0.79561,1.32003,0.61822,0.84615,0.85265,0.58822,1.1535,1.41707,1.58825,0.0010397,0.0010397,0.0010397
99,112.42,0.8232,0.7997,1.21782,0.61822,0.84615,0.85265,0.58822,1.1535,1.41707,1.58825,0.0010298,0.0010298,0.0010298
100,113.57,0.85762,0.68412,1.39356,0.81742,0.68908,0.79599,0.53202,1.21378,2.00884,1.53041,0.0010199,0.0010199,0.0010199
101,114.717,0.85584,0.64872,1.20346,0.81742,0.68908,0.79599,0.53202,1.21378,2.00884,1.53041,0.00101,0.00101,0.00101
102,115.87,0.78742,0.66718,1.18881,0.84025,0.61538,0.77168,0.5686,1.03067,2.08484,1.43762,0.0010001,0.0010001,0.0010001
103,117.032,0.81503,0.70469,1.28769,0.84025,0.61538,0.77168,0.5686,1.03067,2.08484,1.43762,0.0009902,0.0009902,0.0009902
104,118.184,0.60587,0.60257,1.12226,1,0.60855,0.7963,0.61969,0.9484,1.84179,1.39924,0.0009803,0.0009803,0.0009803
105,119.321,0.89796,0.7827,1.17498,1,0.60855,0.7963,0.61969,0.9484,1.84179,1.39924,0.0009704,0.0009704,0.0009704
106,120.471,1.14157,1.09321,1.56093,0.96852,0.69231,0.82813,0.6599,0.92743,1.66894,1.44005,0.0009605,0.0009605,0.0009605
107,121.698,0.69011,0.63906,1.09421,0.96852,0.69231,0.82813,0.6599,0.92743,1.66894,1.44005,0.0009506,0.0009506,0.0009506
108,122.926,1.04534,0.66811,1.40592,0.92779,0.69231,0.80523,0.66414,0.95839,1.92346,1.38963,0.0009407,0.0009407,0.0009407
109,124.141,0.65792,0.64849,1.02073,0.92779,0.69231,0.80523,0.66414,0.95839,1.92346,1.38963,0.0009308,0.0009308,0.0009308
110,125.36,0.80368,0.76909,1.23894,0.93434,0.69231,0.75771,0.56199,1.01519,2.05524,1.40355,0.0009209,0.0009209,0.0009209
111,126.511,0.73295,0.73608,1.22444,0.93434,0.69231,0.75771,0.56199,1.01519,2.05524,1.40355,0.000911,0.000911,0.000911
112,127.666,0.80243,0.76022,1.10062,1,0.60664,0.75727,0.55259,0.92301,2.19821,1.34902,0.0009011,0.0009011,0.0009011
113,128.799,0.65558,0.52836,1.06274,1,0.60664,0.75727,0.55259,0.92301,2.19821,1.34902,0.0008912,0.0008912,0.0008912
114,129.949,0.79541,0.76903,1.24789,0.96225,0.61538,0.73305,0.54666,0.93826,2.26013,1.40564,0.0008813,0.0008813,0.0008813
115,131.079,1.33393,1.24158,1.71125,0.96225,0.61538,0.73305,0.54666,0.93826,2.26013,1.40564,0.0008714,0.0008714,0.0008714
116,132.239,0.76041,0.67194,1.13144,0.88864,0.61399,0.71885,0.59106,0.78883,1.83172,1.25914,0.0008615,0.0008615,0.0008615
117,133.378,0.84264,0.72811,1.23394,0.88864,0.61399,0.71885,0.59106,0.78883,1.83172,1.25914,0.0008516,0.0008516,0.0008516
118,134.524,1.19269,1.14103,1.64681,1,0.60711,0.79831,0.65373,0.75246,1.56809,1.1918,0.0008417,0.0008417,0.0008417
119,135.691,0.99274,0.91231,1.4364,1,0.60711,0.79831,0.65373,0.75246,1.56809,1.1918,0.0008318,0.0008318,0.0008318
120,136.842,0.73775,0.59711,1.05849,0.92315,0.69231,0.8653,0.63262,0.84542,1.46871,1.39742,0.0008219,0.0008219,0.0008219
121,138.01,0.71127,0.62224,1.02971,0.92315,0.69231,0.8653,0.63262,0.84542,1.46871,1.39742,0.000812,0.000812,0.000812
122,139.168,0.70001,0.57508,1.04632,0.76006,0.76923,0.84277,0.53335,1.12959,1.34301,1.87348,0.0008021,0.0008021,0.0008021
123,140.336,0.77336,0.58191,1.02935,0.76006,0.76923,0.84277,0.53335,1.12959,1.34301,1.87348,0.0007922,0.0007922,0.0007922
124,141.494,0.78432,0.58236,1.17696,0.88971,0.76923,0.86127,0.53097,1.16046,1.41559,1.95852,0.0007823,0.0007823,0.0007823
125,142.628,0.63436,0.53258,1.04448,0.88971,0.76923,0.86127,0.53097,1.16046,1.41559,1.95852,0.0007724,0.0007724,0.0007724
126,143.774,0.71185,0.63612,1.23664,0.9202,0.76923,0.88136,0.60058,1.00201,1.33282,1.7179,0.0007625,0.0007625,0.0007625
127,144.912,0.6615,0.56841,1.22909,0.9202,0.76923,0.88136,0.60058,1.00201,1.33282,1.7179,0.0007526,0.0007526,0.0007526
128,146.061,0.99036,1.20072,1.28574,0.7895,0.86656,0.92129,0.64127,0.94989,1.16888,1.54962,0.0007427,0.0007427,0.0007427
129,147.2,0.71935,0.58524,1.0627,0.7895,0.86656,0.92129,0.64127,0.94989,1.16888,1.54962,0.0007328,0.0007328,0.0007328
130,148.347,0.68249,0.91905,1.1919,0.83495,0.92308,0.92467,0.6982,1.00796,1.10352,1.51365,0.0007229,0.0007229,0.0007229
131,149.566,1.0702,0.73418,1.50311,0.83495,0.92308,0.92467,0.6982,1.00796,1.10352,1.51365,0.000713,0.000713,0.000713
132,150.804,0.67467,0.62108,1.09198,0.84601,0.92308,0.90209,0.68587,0.93863,1.14903,1.40015,0.0007031,0.0007031,0.0007031
133,151.943,0.64659,0.44933,1.07894,0.84601,0.92308,0.90209,0.68587,0.93863,1.14903,1.40015,0.0006932,0.0006932,0.0006932
134,153.083,0.76064,0.59098,1.17513,0.82067,0.70495,0.8743,0.70562,0.84272,1.11436,1.2959,0.0006833,0.0006833,0.0006833
135,154.298,1.24784,1.18619,1.58253,0.82067,0.70495,0.8743,0.70562,0.84272,1.11436,1.2959,0.0006734,0.0006734,0.0006734
136,155.517,0.55374,0.52749,1.04056,0.71218,0.84615,0.84987,0.72779,0.71416,0.90999,1.17319,0.0006635,0.0006635,0.0006635
137,156.741,0.70299,0.61353,1.14748,0.71218,0.84615,0.84987,0.72779,0.71416,0.90999,1.17319,0.0006536,0.0006536,0.0006536
138,158.315,0.62273,0.51934,1.08698,0.91579,0.83721,0.89212,0.75295,0.75559,0.94781,1.20299,0.0006437,0.0006437,0.0006437
139,159.522,0.91588,0.87601,1.4667,0.91579,0.83721,0.89212,0.75295,0.75559,0.94781,1.20299,0.0006338,0.0006338,0.0006338
140,160.746,0.7952,0.52336,1.30735,0.8917,0.84615,0.91507,0.77539,0.75412,0.83905,1.23038,0.0006239,0.0006239,0.0006239
141,161.954,0.56636,0.60162,1.08621,0.8917,0.84615,0.91507,0.77539,0.75412,0.83905,1.23038,0.000614,0.000614,0.000614
142,163.191,0.67126,0.52587,1.1685,0.89534,0.92308,0.96,0.78392,0.78626,0.80444,1.27604,0.0006041,0.0006041,0.0006041
143,164.421,0.76289,0.66134,1.18118,0.89534,0.92308,0.96,0.78392,0.78626,0.80444,1.27604,0.0005942,0.0005942,0.0005942
144,165.633,0.59363,0.48395,1.11793,0.91241,0.92308,0.95676,0.77125,0.80972,0.78918,1.32476,0.0005843,0.0005843,0.0005843
145,166.776,0.64253,0.47535,1.01768,0.91241,0.92308,0.95676,0.77125,0.80972,0.78918,1.32476,0.0005744,0.0005744,0.0005744
146,167.93,0.65346,0.6623,1.08461,0.91977,0.92308,0.95638,0.7551,0.81091,0.82738,1.29455,0.0005645,0.0005645,0.0005645
