# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 186, mean observations per image: 0
1 0.32798628334942559 0.91916438980239867 -0.059363482583292729 -0.2098518510506821 497.72238047334901 8.0460594366565843 472.94045178335563 1 devide/left/frame_000_left.png

2 0.33848988909151634 0.91648738253562634 -0.058684727787237149 -0.20501603683699313 552.74473312388909 -4.6060401017645312 454.9916422979677 2 devide/right/frame_000_right.png

3 0.33738040002691583 0.91498331874705874 -0.026243610695623538 -0.21975273602381679 491.85531337451886 17.058132881802166 466.80314491256706 1 devide/left/frame_001_left.png

4 0.34771619939686255 0.91236597952838816 -0.025406015926154601 -0.21456071036181343 546.70277473286353 7.4910331992370729 446.55663256890608 2 devide/right/frame_001_right.png

5 0.3696367397964575 0.90232936770273797 0.029311237704775464 -0.21979818952402061 466.97900759932412 82.049080771843393 468.08486828483643 1 devide/left/frame_002_left.png

6 0.3795762276678063 0.89956279826690799 0.030340006424061223 -0.21398164260953773 521.66098271707574 77.879212908243645 445.67530614955643 2 devide/right/frame_002_right.png

7 0.40415424835253649 0.88701372065415474 0.070758810331036245 -0.21179989062888108 437.01528741776502 145.71135541512828 465.15323915129932 1 devide/left/frame_003_left.png

8 0.41370958478649089 0.88398966795183775 0.071915736697620095 -0.20551100511998768 491.42611431943249 145.56813985309532 441.71958640460116 2 devide/right/frame_003_right.png

9 0.396132449982944 0.88543418849521105 0.082334536305929032 -0.22870593356016172 438.56266047209965 155.28513566017688 468.46585348566987 1 devide/left/frame_004_left.png

10 0.40567341817178904 0.88261202369514347 0.083633578460846666 -0.22232975053153303 491.96272862912542 155.72083218194527 442.81555981797123 2 devide/right/frame_004_right.png

11 0.39500650235217999 0.8780684188142357 0.10750790199128495 -0.24780590386428983 439.46729813154877 157.12885279153218 465.35947781087373 1 devide/left/frame_005_left.png

12 0.40441549630917917 0.87543250930680028 0.109022742857029 -0.24120545087897452 491.2709980506732 159.27405400128887 436.69818924367519 2 devide/right/frame_005_right.png

13 0.39306382534592849 0.86890793968093105 0.13510807794785609 -0.26878546991439273 440.42257499289946 158.8632404576322 461.87617307371028 1 devide/left/frame_006_left.png

14 0.40231703263405721 0.86648385546853846 0.1368601765521015 -0.26194660818386534 490.19892130860603 162.84245903738929 429.99865995197155 2 devide/right/frame_006_right.png

15 0.39015859414445225 0.8571875612498322 0.16618636223518518 -0.29221199369777007 441.21096853723066 160.83572958422332 457.918078325789 1 devide/left/frame_007_left.png

16 0.39922117865975748 0.85500862033824265 0.16820485187459436 -0.28511372724345385 488.3718165868155 166.82831977362909 422.56785979833052 2 devide/right/frame_007_right.png

17 0.39222188508364125 0.85645595497861726 0.16704957216499922 -0.2911007222295926 427.42394131226291 189.11161383931321 458.40910230741861 1 devide/left/frame_008_left.png

18 0.40126894622407927 0.8542532473694282 0.16906864770466704 -0.28399016623523948 474.61454439906424 195.16903272987352 423.1096783381592 2 devide/right/frame_008_right.png

19 0.40674371520884134 0.83553349010694056 0.20643662943083851 -0.30631234888110304 399.4275209730053 236.01073411705491 448.9648092319519 1 devide/left/frame_009_left.png

20 0.41543671974823038 0.83338432367649395 0.20874919042361798 -0.29884222665578425 443.73074855243408 244.45426051622727 410.55093720809725 2 devide/right/frame_009_right.png

21 0.41116962442962196 0.807059856948531 0.25648706259526205 -0.33735487838457962 383.27839939223901 262.80907569353252 439.15004365256772 1 devide/left/frame_010_left.png

22 0.41943305735497954 0.80517996895348876 0.25923416925401654 -0.32948258449437551 422.45519787707161 273.78096409680739 396.08624445628033 2 devide/right/frame_010_right.png

23 0.42205814126318697 0.78683264469977265 0.2841063756973437 -0.34934922629990872 364.9187466995707 291.34023881378153 432.25046135781264 1 devide/left/frame_011_left.png

24 0.43001995116208747 0.78498964451011966 0.28709488365009522 -0.34124862988204085 401.27860183947286 303.33450036715431 387.04212916265334 2 devide/right/frame_011_right.png

25 0.44999763861435071 0.78114410488849162 0.29228719265115116 -0.31919306015572174 307.19419472875035 315.15047251029057 441.42929839783403 1 devide/left/frame_012_left.png

26 0.457759413851618 0.77889585980324638 0.29511291239800702 -0.31094360830792289 345.117262702944 328.26376940426366 397.84516096380344 2 devide/right/frame_012_right.png

27 0.44965268374900702 0.75220965580775156 0.33068887906204059 -0.35019703449856709 291.54974092638059 335.3097029163232 428.13119716852935 1 devide/left/frame_013_left.png

28 0.45703539965006085 0.75024136307668243 0.33392853674609285 -0.34168446400467806 324.17655180267207 349.27555149908108 380.6955464269252 2 devide/right/frame_013_right.png

29 0.45038129197093313 0.72340984569317102 0.36406488338930965 -0.3758878126243308 282.95250573297039 341.52121133256804 418.58465080548831 1 devide/left/frame_014_left.png

30 0.45739237114679032 0.72166850412245609 0.36766827053472212 -0.36716049871463557 310.58997731211883 355.88553409383098 368.19089055488502 2 devide/right/frame_014_right.png

31 0.44698698066634707 0.72102351613983073 0.3682512388204372 -0.38041918116119111 268.09740789233973 356.235279350616 411.6654301377788 1 devide/left/frame_015_left.png

32 0.45396878042931355 0.71935295414669065 0.37189328427462931 -0.37167063223690494 294.98008966760028 370.76321388311072 360.91156117527623 2 devide/right/frame_015_right.png

33 0.4622504381667859 0.7111011448154273 0.3721092434149923 -0.37708673434890977 238.54186658850392 387.78817892981027 397.39687467237565 1 devide/left/frame_016_left.png

34 0.46909875935625234 0.70926979728075235 0.37582157923619053 -0.36829451423576914 265.29005551668962 401.75577112577503 346.41515801647466 2 devide/right/frame_016_right.png

35 0.47779682401017692 0.66506431567480995 0.40940901680896791 -0.40222370384811862 210.26400896619839 399.15522889766891 371.66893587952359 1 devide/left/frame_017_left.png

36 0.48407300617152305 0.66331764003096083 0.41360644783910649 -0.39320826469663339 231.08269105708095 412.02442053025771 317.71839317052263 2 devide/right/frame_017_right.png

37 0.4478146829095091 0.6366659365230638 0.44564153776038234 -0.44217882679344511 207.82440055130357 408.92962334469382 371.03603472153031 1 devide/left/frame_018_left.png

38 0.45375949277786248 0.63554216373567718 0.45020409858409433 -0.43301818720029961 221.06496873762444 422.46108164918741 314.89975709172666 2 devide/right/frame_018_right.png

39 0.27609357290799291 -0.051780586769271213 0.78748941180570042 -0.54859049948631156 -491.02868656762325 32.529746826703487 361.91944397485508 1 devide/left/frame_019_left.png

40 0.27363613987356389 -0.04943187925369194 0.79461039209777851 -0.53969813510772735 -542.54587459795573 12.813880682779526 340.31021827110754 2 devide/right/frame_019_right.png

