# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
1 0.3279862833494256 0.9191643898023987 -0.05936348258329273 -0.2098518510506821 497.722380473349 8.046059436656584 472.9404517833556 1 devide/left/frame_000_left.png

2 0.33848988909151634 0.9164873825356263 -0.05868472778723715 -0.20501603683699313 552.7447331238891 -4.606040101764531 454.9916422979677 2 devide/right/frame_000_right.png

3 0.3373804000269158 0.9149833187470587 -0.02624361069562354 -0.21975273602381679 491.85531337451886 17.058132881802166 466.80314491256706 1 devide/left/frame_001_left.png

4 0.34771619939686255 0.9123659795283882 -0.0254060159261546 -0.21456071036181343 546.7027747328635 7.491033199237073 446.5566325689061 2 devide/right/frame_001_right.png

5 0.3696367397964575 0.902329367702738 0.029311237704775464 -0.2197981895240206 466.9790075993241 82.04908077184339 468.08486828483643 1 devide/left/frame_002_left.png

6 0.3795762276678063 0.899562798266908 0.030340006424061223 -0.21398164260953773 521.6609827170757 77.87921290824364 445.67530614955643 2 devide/right/frame_002_right.png

7 0.4041542483525365 0.8870137206541547 0.07075881033103625 -0.21179989062888108 437.015287417765 145.71135541512828 465.1532391512993 1 devide/left/frame_003_left.png

8 0.4137095847864909 0.8839896679518378 0.0719157366976201 -0.20551100511998768 491.4261143194325 145.56813985309532 441.71958640460116 2 devide/right/frame_003_right.png

9 0.396132449982944 0.885434188495211 0.08233453630592903 -0.22870593356016172 438.56266047209965 155.28513566017688 468.46585348566987 1 devide/left/frame_004_left.png

10 0.40567341817178904 0.8826120236951435 0.08363357846084667 -0.22232975053153303 491.9627286291254 155.72083218194527 442.81555981797123 2 devide/right/frame_004_right.png

11 0.39500650235218 0.8780684188142357 0.10750790199128495 -0.24780590386428983 439.4672981315488 157.12885279153218 465.3594778108737 1 devide/left/frame_005_left.png

12 0.40441549630917917 0.8754325093068003 0.109022742857029 -0.24120545087897452 491.2709980506732 159.27405400128887 436.6981892436752 2 devide/right/frame_005_right.png

13 0.3930638253459285 0.868907939680931 0.1351080779478561 -0.2687854699143927 440.42257499289946 158.8632404576322 461.8761730737103 1 devide/left/frame_006_left.png

14 0.4023170326340572 0.8664838554685385 0.1368601765521015 -0.26194660818386534 490.19892130860603 162.8424590373893 429.99865995197155 2 devide/right/frame_006_right.png

15 0.39015859414445225 0.8571875612498322 0.16618636223518518 -0.29221199369777007 441.21096853723066 160.83572958422332 457.918078325789 1 devide/left/frame_007_left.png

